('Calexico', Decimal('35.82'))
('Fretwork', Decimal('31.84'))
('Frank Zappa & Captain Beefheart', Decimal('26.73'))
('Leonard Bernstein & New York Philharmonic', Decimal('25.87'))
('Ton Koopman', Decimal('25.87'))
('The Police', Decimal('25.74'))
('Vinícius E Qurteto Em Cy', Decimal('24.75'))
('Luciano Pavarotti', Decimal('23.88'))
('Boston Symphony Orchestra & Seiji Ozawa', Decimal('21.89'))
('Barry Wordsworth & BBC Concert Orchestra', Decimal('21.78'))
('Aaron Copland & London Symphony Orchestra', Decimal('19.90'))
('Ed Motta', Decimal('19.80'))
('Sir Georg Solti & Wiener Philharmoniker', Decimal('18.81'))
('David Coverdale', Decimal('18.81'))
('Various Artists', Decimal('18.81'))
('Fernanda Porto', Decimal('17.82'))
('Green Day', Decimal('17.82'))
('Big & Rich', Decimal('17.82'))
('Queen', Decimal('16.83'))
('James Brown', Decimal('16.83'))
('Instituto', Decimal('16.83'))
('Berliner Philharmoniker & Hans Rosbaud', Decimal('16.83'))
('Marcos Valle', Decimal('15.84'))
('Yehudi Menuhin', Decimal('15.84'))
('Vinícius De Moraes', Decimal('14.85'))
('Nando Reis', Decimal('14.85'))
('Black Eyed Peas', Decimal('14.85'))
('Nicolaus Esterhazy Sinfonia', Decimal('14.85'))
('Incognito', Decimal('14.85'))
('Kiss', Decimal('14.85'))
('Roger Norrington, London Classical Players', Decimal('13.93'))
('Otto', Decimal('13.86'))
('O Rappa', Decimal('13.86'))
('Vinícius De Moraes & Baden Powell', Decimal('12.87'))
('Vinícius E Odette Lara', Decimal('12.87'))
('Jackson Browne', Decimal('12.87'))
('Funk Como Le Gusta', Decimal('12.87'))
('Aaron Goldberg', Decimal('12.87'))
('Vinicius, Toquinho & Quarteto Em Cy', Decimal('12.87'))
("Christopher O'Riley", Decimal('11.94'))
('Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker', Decimal('11.88'))
('Velvet Revolver', Decimal('11.88'))
('Pedro Luís E A Parede', Decimal('11.88'))
('Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair', Decimal('11.88'))
('London Symphony Orchestra & Sir Charles Mackerras', Decimal('11.88'))
("Youssou N'Dour", Decimal('11.88'))
('Lost', Decimal('11.88'))
('Richard Marlow & The Choir of Trinity College, Cambridge', Decimal('11.88'))
('Gonzaguinha', Decimal('11.88'))
('Cidade Negra', Decimal('11.88'))
('Page & Plant', Decimal('11.88'))
('Spyro Gyra', Decimal('10.89'))
('Chico Science & Nação Zumbi', Decimal('10.89'))
('Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett', Decimal('10.89'))
('Charlie Brown Jr.', Decimal('10.89'))
('UB40', Decimal('10.89'))
('Raul Seixas', Decimal('10.89'))
('Banda Black Rio', Decimal('10.89'))
('Os Paralamas Do Sucesso', Decimal('10.89'))
('Luciana Souza/Romero Lubambo', Decimal('10.89'))
('Maurizio Pollini', Decimal('10.89'))
('U2', Decimal('10.89'))
('Orchestra of The Age of Enlightenment', Decimal('10.89'))
('Antal Doráti & London Symphony Orchestra', Decimal('9.90'))
('Van Halen', Decimal('9.90'))
('DJ Dolores & Orchestra Santa Massa', Decimal('9.90'))
('Jamiroquai', Decimal('9.90'))
('Alice In Chains', Decimal('9.90'))
('Red Hot Chili Peppers', Decimal('9.90'))
('The Postal Service', Decimal('9.90'))
('Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra', Decimal('9.90'))
('Alberto Turco & Nova Schola Gregoriana', Decimal('9.90'))
('Wilhelm Kempff', Decimal('9.90'))
('Raimundos', Decimal('9.90'))
('Seu Jorge', Decimal('9.90'))
('AC/DC', Decimal('9.90'))
('Titãs', Decimal('9.90'))
('Avril Lavigne', Decimal('9.90'))
('Britten Sinfonia, Ivor Bolton & Lesley Garrett', Decimal('9.90'))
('James Levine', Decimal('9.90'))
('Falamansa', Decimal('9.90'))
('Azymuth', Decimal('8.91'))
('JET', Decimal('8.91'))
('Soundgarden', Decimal('8.91'))
('Elis Regina', Decimal('8.91'))
('Stone Temple Pilots', Decimal('8.91'))
('Toquinho & Vinícius', Decimal('8.91'))
('Nirvana', Decimal('8.91'))
('Stereo Maracana', Decimal('8.91'))
('Rodox', Decimal('8.91'))
('Gustav Mahler', Decimal('8.91'))
('Os Mutantes', Decimal('8.91'))
('Milton Nascimento & Bebeto', Decimal('8.91'))
('Regina Spektor', Decimal('8.91'))
('Gene Krupa', Decimal('8.91'))
('Iron Maiden', Decimal('8.91'))
('Los Hermanos', Decimal('8.91'))
('Heroes', Decimal('8.91'))
('Chris Cornell', Decimal('8.91'))
('The Flaming Lips', Decimal('8.91'))
('Berliner Philharmoniker & Herbert Von Karajan', Decimal('8.91'))
('Creedence Clearwater Revival', Decimal('8.91'))
('Motörhead & Girlschool', Decimal('8.91'))
('Scholars Baroque Ensemble', Decimal('8.91'))
('The Cult', Decimal('8.91'))
('Olodum', Decimal('8.91'))
('Temple of the Dog', Decimal('8.91'))
('Stevie Ray Vaughan & Double Trouble', Decimal('8.91'))
('Tim Maia', Decimal('7.92'))
('Def Leppard', Decimal('7.92'))
('Les Arts Florissants & William Christie', Decimal('7.92'))
('The Rolling Stones', Decimal('7.92'))
('Jaguares', Decimal('7.92'))
('Men At Work', Decimal('7.92'))
('Mötley Crüe', Decimal('7.92'))
('The Doors', Decimal('7.92'))
('Mundo Livre S/A', Decimal('7.92'))
('Foo Fighters', Decimal('7.92'))
('Milton Nascimento', Decimal('7.92'))
('Marillion', Decimal('7.92'))
('Pink Floyd', Decimal('7.92'))
('Skank', Decimal('7.92'))
('Battlestar Galactica', Decimal('7.92'))
('Antônio Carlos Jobim', Decimal('7.92'))
('Battlestar Galactica (Classic)', Decimal('7.92'))
('Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos', Decimal('7.92'))
('Os Cariocas', Decimal('7.92'))
('Sabotage E Instituto', Decimal('7.92'))
("Guns N' Roses", Decimal('7.92'))
('Mônica Marianno', Decimal('7.92'))
('Apocalyptica', Decimal('6.93'))
